product_name,Attributes
ESR HaloLock Kickstand MagSafe Battery Pack - Black,"Product color:Black, Product Compatible Devices:IPhone 14 Pro Max / iPhone 14 Pro / iPhone 14 Plus / iPhone 14 / iPhone 13 Pro Max / iPhone 13 Pro / iPhone 13 / iPhone 12 Pro Max / iPhone 12 Pro / iPhone 12 / iPhone 11 Pro Max / iPhone 11 Pro / iP, Product Connectivity technology:USB Type C, Product Weight:223.11 Grams"
https://m.media-amazon.com/images/I/61h2DPC4AuL._AC_SY679_.jpg|https://m.media-amazon.com/images/I/61LzGr6yumL._AC_SX679_.jpg|https://m.media-amazon.com/images/I/61zfdsAXViL._AC_SX679_.jpg|https://m.media-amazon.com/images/I/71AF-CAjTLL._AC_SX522_.jpg,"Product color:Blue, Product Display:Analog, Product Material:Stainless Steel, Product Special Feature:Stop Watch, 24-hour Display, Luminous Hands, Tachymeter, Product Watch Movement:Quartz, Product Weight:148 Grams"
Ray-Ban RB3025 Classic Aviator Sunglasses - Sand Transparent Red/Green,"Product color:Sand Transparent Red/Green, Product Material:Metal Frame, Product Style:Classic, Product Weight:172.37 Grams"
Fitbit Versa 3 - Pink Clay/Soft Gold,"Product color:Pink Clay/Soft Gold, Product Connectivity technology:â€ŽBluetooth, GPS, Product screen-size:40mm, Product Style:Versa 3, Product Weight:20 Grams"
Fitbit Versa 3 - Black/Black,"Product color:Black + Black, Product Connectivity technology:â€ŽBluetooth, GPS, Product screen-size:40mm, Product Style:Versa 3, Product Weight:19.84 Grams"
Fitbit Versa 3 - Midnight/Soft Gold,"Product color:Midnight/Soft Gold, Product Connectivity technology:â€ŽBluetooth, GPS, Product screen-size:40mm, Product Style:Versa 3, Product Weight:20 Grams"
Fitbit Versa 3 - Thistle/Soft Gold,"Product color:Thistle/Soft Gold Aluminum, Product Connectivity technology:â€ŽBluetooth, GPS, Product screen-size:40mm, Product Style:Versa 3, Product Weight:27.22 Grams"
Fitbit Sense - Sage Grey/Silver,"Product color:Sage Grey/Silver, Product Connectivity technology:â€ŽBluetooth, GPS, Product screen-size:43mm, Product Style:Sense, Product Weight:30 Grams"
Fitbit Versa 4 - Black/Graphite,"Product color:Black/Graphite, Product screen-size:mm, Product Style:Fitbit, Product Weight:200 Grams"
Fitbit Versa 4 - Beet/Copper Rose,"Product color:Beet/Copper Rose, Product screen-size:mm, Product Style:Fitbit, Product Weight:200 Grams"
Fitbit Versa 4 - Pink Sand/Copper Rose,"Product color:Pink Sand/Copper Rose, Product screen-size:mm, Product Style:Fitbit, Product Weight:200 Grams"
Fitbit Versa 4 - Waterfall Blue/Platinum,"Product color:Waterfall Blue/Platinum, Product screen-size:mm, Product Style:Fitbit, Product Weight:200 Grams"
DC Black Adam Movie Sabbac Mega Action Figure,"Product Character:Demon, Product color:MultiColor, Product Material:Polyvinyl Chloride, Product Style:Sabbac, Product Weight:â€Ž685 g"
Bandai Dragon Ball Super Evolve 12.5cm Anime Super Saiyan Broly Figure,"Product Character:Dragon, Product color:Multi-colored, Product Material:Plastic, Product Style:Broly, Product Weight:145 g"
Funko Pop Universal Monsters Dracula 1931 Vinyl Figure,"Product color:Multi_color, Product Material:Vinyl, Product Style:Horror, Product Weight:130 g"
Kindle Oasis Water-Safe Fabric Cover - Charcoal Black (Compatible with 9th and 10th Generation) - Charcoal Black,"Product color:Charcoal Black, Product Generation:9th and 10th Generation, Product Weight:125 g"
"Kindle Oasis Water-Safe Fabric Cover, Blue (Compatible with 9th and 10th Generations) - Blue","Product color:Blue, Product Generation:9th and 10th Generation, Product Weight:125 g"
"Kindle Oasis Water-Safe Fabric Cover, Red (Compatible with 9th and 10th Generations) - Red","Product color:red, Product Generation:9th and 10th Generation, Product Weight:125 g"
Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant for Clearer Skin,"Product Form Factor:Bar, Product Sheet Size:type, Product size:Travel Size, Product Weight:40.82 Grams"
Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant for Clearer Skin,"Product Form Factor:Liquid, Product Sheet Size:type, Product size:1 Fl Oz, Product Weight:45 Grams"
Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant for Clearer Skin,"Product Form Factor:Liquid, Product Sheet Size:type, Product size:2 Piece Set, Product Weight:209 Grams"
Paula's Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant for Clearer Skin,"Product Form Factor:Liquid, Product Sheet Size:type, Product size:120, Product Weight:113 Grams"
"CeraVe Foaming Facial Cleanser for Oily Skin, Safe and Effective Makeup Remover","Product Form Factor:Gel, Product Scent:fragrance free, Product Sheet Size:type, Product size:16 Ounce, Product Weight:548.85 Grams"
"CeraVe Foaming Facial Cleanser for Oily Skin, Safe and Effective Makeup Remover","Product Form Factor:Gel, Product Sheet Size:type, Product size:3 Fl Oz (Pack of 1), Product Weight:85.05 Grams"
"CeraVe Foaming Facial Cleanser for Oily Skin, Safe and Effective Makeup Remover","Product Form Factor:Foam, Product Scent:Foaming Cleanser, Product Sheet Size:type, Product size:12 Ounce, Product Weight:340 Grams"
"CeraVe Foaming Facial Cleanser for Oily Skin, Safe and Effective Makeup Remover","Product Form Factor:Gel, Product Scent:Unscented, Product Sheet Size:type, Product size:12 Fl Oz (Pack of 1), Product Weight:571.53 Grams"
